2021-04-01 19:23:41	2021-04-01 19:23:41	SPY	399.54 (4500)  	399.55 (1100) 
updateMktDepth 1002 45 1 1 399.07 3
updateMktDepth 1002 46 1 1 399.06 3
updateMktDepth 1002 47 1 1 399.05 12
updateMktDepth 1002 48 1 1 399.04 3
updateMktDepth 1002 49 1 1 399.03 3
updateMktDepth 1002 50 1 1 399.02 6
updateMktDepth 1002 51 1 1 399.01 2
updateMktDepth 1002 52 1 1 399.0 80
updateMktDepth 1002 53 1 1 398.99 22
updateMktDepth 1002 54 1 1 398.98 2
updateMktDepth 1002 55 1 1 398.97 8
updateMktDepth 1002 56 1 1 398.96 3
updateMktDepth 1002 57 1 1 398.95 3
updateMktDepth 1002 58 1 1 398.94 2
updateMktDepth 1002 59 1 1 398.93 7
updateMktDepth 1002 60 1 1 398.92 2
updateMktDepth 1002 61 1 1 398.91 2
updateMktDepth 1002 62 1 1 398.9 8
updateMktDepth 1002 63 1 1 398.89 2
updateMktDepth 1002 64 1 1 398.88 2
updateMktDepth 1002 65 1 1 398.87 2
updateMktDepth 1002 66 1 1 398.86 3
updateMktDepth 1002 67 1 1 398.85 7
updateMktDepth 1002 68 1 1 398.84 5
updateMktDepth 1002 69 1 1 398.83 2
updateMktDepth 1002 70 1 1 398.82 2
updateMktDepth 1002 71 1 1 398.81 3
updateMktDepth 1002 72 1 1 398.8 10
updateMktDepth 1002 73 1 1 398.79 3
updateMktDepth 1002 74 1 1 398.78 3
updateMktDepth 1002 75 1 1 398.77 8
updateMktDepth 1002 76 1 1 398.76 3
updateMktDepth 1002 77 1 1 398.75 13
updateMktDepth 1002 78 1 1 398.73 1
updateMktDepth 1002 79 1 1 398.72 10
updateMktDepth 1002 80 1 1 398.71 1
updateMktDepth 1002 81 1 1 398.7 6
updateMktDepth 1002 82 1 1 398.69 2
updateMktDepth 1002 83 1 1 398.66 4
updateMktDepth 1002 84 1 1 398.64 2
updateMktDepth 1002 85 1 1 398.61 1
updateMktDepth 1002 86 1 1 398.6 2
updateMktDepth 1002 87 1 1 398.57 6
updateMktDepth 1002 88 1 1 398.55 1
updateMktDepth 1002 89 1 1 398.54 1
updateMktDepth 1002 90 1 1 398.51 1
updateMktDepth 1002 91 1 1 398.5 24
updateMktDepth 1002 92 1 1 398.49 3
updateMktDepth 1002 93 1 1 398.47 1
updateMktDepth 1002 94 1 1 398.46 13
updateMktDepth 1002 95 1 1 398.41 1
updateMktDepth 1002 96 1 1 398.38 1
updateMktDepth 1002 97 1 1 398.37 1
updateMktDepth 1002 98 1 1 398.36 1
updateMktDepth 1002 99 1 1 398.35 1
updateMktDepth 1002 0 1 0 399.54 23
updateMktDepth 1002 1 1 0 399.55 32
updateMktDepth 1002 2 1 0 399.56 8
updateMktDepth 1002 3 1 0 399.57 19
updateMktDepth 1002 4 1 0 399.58 10
updateMktDepth 1002 5 1 0 399.59 14
updateMktDepth 1002 6 1 0 399.6 30
updateMktDepth 1002 7 1 0 399.61 31
updateMktDepth 1002 8 1 0 399.62 30
updateMktDepth 1002 9 1 0 399.63 19
updateMktDepth 1002 10 1 0 399.64 28
updateMktDepth 1002 11 1 0 399.65 18
updateMktDepth 1002 12 1 0 399.66 18
updateMktDepth 1002 13 1 0 399.67 28
updateMktDepth 1002 14 1 0 399.68 21
updateMktDepth 1002 15 1 0 399.69 28
updateMktDepth 1002 16 1 0 399.7 28
updateMktDepth 1002 17 1 0 399.71 36
updateMktDepth 1002 18 1 0 399.72 20
updateMktDepth 1002 19 1 0 399.73 18
updateMktDepth 1002 20 1 0 399.74 59
updateMktDepth 1002 21 1 0 399.75 20
updateMktDepth 1002 22 1 0 399.76 14
updateMktDepth 1002 23 1 0 399.77 17
updateMktDepth 1002 24 1 0 399.78 14
updateMktDepth 1002 25 1 0 399.79 14
updateMktDepth 1002 26 1 0 399.8 26
updateMktDepth 1002 27 1 0 399.81 30
updateMktDepth 1002 28 1 0 399.82 3
updateMktDepth 1002 29 1 0 399.83 3
